iso	name	year	carbon	electricity	non_renewables	percent_generation_non_renewables	renewables	percent_generation_renewables	geo_biomass	percent_generation_biomass	solar_potential	percentage_solar_potential	percentage_solar_potential_vs_total	solar_capacity	solar_generation	percent_generation_solar	wind_potential	percentage_wind_potential	percentage_wind_potential_vs_total	wind_capacity	wind_generation	percent_generation_wind	percentage_total_potential_vs_total
AT	Austria	1986	52.8	44.7	43.41	0.9711409	1.29	0.0288591	1.29	0.0288590604	4.234469	0.00	0.09	#N/A	0	0	34.52879655	0.00	0.77	0	0	0	0.87
AT	Austria	1987	53.4	50.5	49.59	0.9819802	0.91	0.0180198	0.91	0.01801980198	3.870412	0.00	0.08	#N/A	0	0	38.80655223	0.00	0.77	0	0	0	0.85
AT	Austria	1988	51.8	49	47.95	0.9785714	1.05	0.0214286	1.05	0.02142857143	4.083088	0.00	0.08	#N/A	0	0	41.46791222	0.00	0.85	0	0	0	0.93
AT	Austria	1989	52	50.2	49.1	0.9780876	1.1	0.0219124	1.1	0.0219123506	4.218852	0.00	0.08	#N/A	0	0	34.83840432	0.00	0.69	0	0	0	0.78
AT	Austria	1990	55.9	50.4	49.26	0.9773810	1.14	0.0226190	1.14	0.02261904762	4.265193	0.00	0.08	#N/A	0	0	35.94387613	0.00	0.71	0	0	0	0.80
AT	Austria	1991	59.9	51.5	50.27	0.9761165	1.23	0.0238835	1.23	0.02388349515	4.127513	0.00	0.08	#N/A	0	0	33.99341247	0.00	0.66	0	0	0	0.74
AT	Austria	1992	55.6	51.2	49.87	0.9740234	1.33	0.0259766	1.33	0.0259765625	4.277536	0.00	0.08	#N/A	0	0	38.13992438	0.00	0.74	0	0	0	0.83
AT	Austria	1993	55.4	52.7	51.34	0.9741935	1.36	0.0258065	1.36	0.02580645161	4.000691	0.00	0.08	#N/A	0	0	39.25205226	0.00	0.74	0	0	0	0.82
AT	Austria	1994	55.7	53.3	52.09	0.9772983	1.21	0.0227017	1.21	0.02270168856	4.067854	0.00	0.08	#N/A	0	0	36.93444158	0.00	0.69	0	0	0	0.77
AT	Austria	1995	59.7	56.6	54.74	0.9671378	1.86	0.0328622	1.86	0.03286219081	3.842877	0.00	0.07	#N/A	0	0	38.94621661	0.00	0.69	0	0	0	0.76
AT	Austria	1996	61.5	54.8	53.2	0.9708029	1.6	0.0291971	1.59	0.02901459854	3.828077	0.00	0.07	2	0	0	33.84546578	0.00	0.62	0.01	0.01	0.0001824817518	0.69
AT	Austria	1997	61.8	56.9	55.17	0.9695958	1.73	0.0304042	1.71	0.03005272408	4.234619	0.00	0.07	2	0	0	35.71876029	0.00	0.63	0.02	0.02	0.0003514938489	0.70
AT	Austria	1998	61.9	57.4	55.51	0.9670732	1.89	0.0329268	1.84	0.03205574913	3.993039	0.00	0.07	3	0	0	40.37932674	0.00	0.70	0.05	0.05	0.0008710801394	0.77
AT	Austria	1999	61.5	60.4	58.75	0.9726821	1.65	0.0273179	1.6	0.02649006623	0.395807	0.00	0.01	4	0	0	36.59189844	0.00	0.61	0.1	0.1	0.001655629139	0.61
AT	Austria	2000	61.6	61.8	60.2	0.9741100	1.6	0.0258900	1.53	0.02475728155	4.173485	0.00	0.07	5	0	0	37.6920101	0.00	0.61	0.1	0.1	0.001618122977	0.68
AT	Austria	2001	66.4	62.3	60.46	0.9704655	1.84	0.0295345	1.67	0.02680577849	4.041371	0.00	0.06	7	0.01	0.0001605136437	37.50647458	0.01	0.60	0.2	0.2	0.003210272873	0.67
AT	Austria	2002	67.3	62.5	60.77	0.9723200	1.73	0.0276800	1.52	0.02432	4.051833	0.00	0.06	9	0.01	0.00016	36.17823426	0.01	0.58	0.2	0.2	0.0032	0.64
AT	Austria	2003	73.3	60.6	58.51	0.9655116	2.09	0.0344884	1.71	0.02821782178	4.471578	0.00	0.07	23	0.02	0.0003300330033	34.19334843	0.01	0.56	0.4	0.4	0.006600660066	0.64
AT	Austria	2004	72	64.9	61.9	0.9537750	3	0.0462250	2.06	0.03174114022	4.003811	0.00	0.06	27	0.02	0.0003081664099	36.113836	0.02	0.56	0.9	0.9	0.01386748844	0.62
AT	Austria	2005	74	66.7	62.91	0.9431784	3.79	0.0568216	2.44	0.03658170915	4.086232	0.00	0.06	21	0.02	0.000299850075	35.00287751	0.04	0.52	1.3	1.3	0.01949025487	0.59
AT	Austria	2006	71.9	64.4	59.39	0.9222050	5.01	0.0777950	3.24	0.05031055901	4.173016	0.00	0.06	22	0.02	0.0003105590062	33.70665853	0.05	0.52	1.8	1.8	0.02795031056	0.59
AT	Austria	2007	68.2	64.9	58.78	0.9057011	6.12	0.0942989	4.06	0.0625577812	4.259354	0.00	0.07	24	0.02	0.0003081664099	38.10043425	0.05	0.59	2	2	0.03081664099	0.65
AT	Austria	2008	69	66.9	60.56	0.9052317	6.34	0.0947683	4.3	0.06427503737	4.011277	0.01	0.06	30	0.03	0.0004484304933	35.47984894	0.06	0.53	2	2	0.02989536622	0.59
AT	Austria	2009	62.9	69.1	62.82	0.9091172	6.28	0.0908828	4.28	0.06193921852	4.060352	0.01	0.06	49	0.05	0.0007235890014	34.70753521	0.06	0.50	2	2	0.02894356006	0.56
